FBgn0000008	FBgn0114341	Dere\GG22167	EOG091902HN
FBgn0011274	FBgn0113926	Dere\GG21748	EOG091903E6
FBgn0011276	FBgn0110828	Dere\GG18617	EOG09190DV8
FBgn0011277	FBgn0110741	Dere\GG18528	EOG09190I4T
FBgn0011279	FBgn0107820	Dere\Obp69a	EOG09190HZ7
FBgn0011280	FBgn0111493	Dere\Obp19d	EOG09190HV1
FBgn0011281	FBgn0068847	Dere\Os-F	EOG09190I4N
FBgn0011282	FBgn0117392	Dere\Obp84a	EOG09190EZU
FBgn0011283	FBgn0115672	Dere\Obp28a	EOG09190IHZ
FBgn0011284	FBgn0107867	Dere\GG15623	EOG09190DCY
FBgn0011286	FBgn0115537	Dere\GG23389	EOG0919000H
FBgn0011288	FBgn0105421	Dere\GG13148	EOG09190F9Y
FBgn0011289	FBgn0103836	Dere\GG11539	EOG09190EOZ
FBgn0011290	FBgn0109432	Dere\GG17205	EOG09190IMY
FBgn0011291	FBgn0116150	Dere\GG24011	EOG09190H4T
FBgn0011293	FBgn0108073	Dere\GG15834	EOG09190J4D
FBgn0011294	FBgn0116916	Dere\GG24786	EOG09190F3Y
FBgn0011296	FBgn0112208	Dere\GG20009	EOG09190G64
FBgn0011297	FBgn0112205	Dere\GG20006	EOG091908CL
FBgn0011300	FBgn0115549	Dere\GG23402	EOG091903WZ
FBgn0011305	FBgn0116100	Dere\GG23961	EOG09190J95
FBgn0011327	FBgn0106295	Dere\GG14033	EOG09190B3F
FBgn0011335	FBgn0107804	Dere\GG15556	EOG09190EEY
FBgn0011336	FBgn0104582	Dere\GG12291	EOG091902RO
FBgn0011361	FBgn0107038	Dere\GG14782	EOG09190GNL
FBgn0011455	FBgn0106116	Dere\GG13853	EOG09190GJB
FBgn0011474	FBgn0109079	Dere\GG16850	EOG091908CP
FBgn0011476	FBgn0112902	Dere\GG20715	EOG09190J7Q
FBgn0011481	FBgn0108893	Dere\GG16663	EOG09190F8N
FBgn0011509	FBgn0107318	Dere\GG15064	EOG09190F2L
FBgn0011554	FBgn0015079	Dere\etaTry	EOG09190GH5
FBgn0011555	FBgn0015082	Dere\thetaTry	EOG09190DRV
FBgn0011559	FBgn0108788	Dere\GG16558	EOG09190B1G
FBgn0011566	FBgn0104894	Dere\GG12606	EOG0919079Z
FBgn0011569	FBgn0106239	Dere\GG13977	EOG0919036U
FBgn0011570	FBgn0116932	Dere\GG24802	EOG09190CR4
FBgn0011573	FBgn0107079	Dere\GG14824	EOG09190AZM
FBgn0011576	FBgn0105186	Dere\GG12913	EOG091906IN
FBgn0011581	FBgn0103583	Dere\GG11282	EOG09190JH8
FBgn0011582	FBgn0113608	Dere\GG21429	EOG091906ES
FBgn0011584	FBgn0102389	Dere\GG10077	EOG09190E2T
FBgn0011586	FBgn0111224	Dere\GG19018	EOG09190J5F
FBgn0011589	FBgn0114012	Dere\GG21834	EOG0919010Y
FBgn0011591	FBgn0105547	Dere\GG13275	EOG091909W7
FBgn0011592	FBgn0112506	Dere\GG20315	EOG091900TA
FBgn0011596	FBgn0277540	Dere\GG26235	EOG091903QV
FBgn0011603	FBgn0116501	Dere\GG24369	EOG0919022B
FBgn0011604	FBgn0112517	Dere\GG20326	EOG091901RC
FBgn0011606	FBgn0104895	Dere\GG12607	EOG0919019T
FBgn0011638	FBgn0113754	Dere\GG21576	EOG09190B6C
FBgn0011640	FBgn0277758	Dere\GG26453	EOG09190CB2
FBgn0011642	FBgn0108652	Dere\GG16420	EOG0919050R
FBgn0011648	FBgn0116589	Dere\GG24457	EOG09190715
FBgn0011653	FBgn0106476	Dere\GG14215	EOG0919043S
FBgn0011655	FBgn0104114	Dere\GG11819	EOG0919062J
FBgn0011656	FBgn0117368	Dere\GG25246	EOG091907GR
FBgn0011659	FBgn0115493	Dere\GG23342	EOG091903P7
FBgn0011660	FBgn0114528	Dere\GG22356	EOG0919026J
FBgn0011661	FBgn0111227	Dere\GG19021	EOG091904HL
FBgn0011666	FBgn0103713	Dere\GG11413	EOG09190AQP
FBgn0011672	FBgn0107202	Dere\GG14948	EOG091904H0
FBgn0011674	FBgn0113015	Dere\GG20829	EOG091903DL
FBgn0011676	FBgn0102663	Dere\GG10354	EOG091900UU
FBgn0011692	FBgn0084870	Dere\pav	EOG0919025L
FBgn0011693	FBgn0105734	Dere\GG13462	EOG09190CZO
FBgn0011695	FBgn0115080	Dere\GG22923	EOG09190JC5
FBgn0011701	FBgn0114935	Dere\GG22770	EOG09190AQD
FBgn0011703	FBgn0116085	Dere\GG23946	EOG0919029A
FBgn0011704	FBgn0114787	Dere\GG22616	EOG09190A5G
FBgn0011705	FBgn0116180	Dere\GG24041	EOG09190CC6
FBgn0011706	FBgn0107987	Dere\GG15745	EOG09190KJN
FBgn0011708	FBgn0117326	Dere\GG25202	EOG091909PS
FBgn0011710	FBgn0111926	Dere\GG19725	EOG09190AJA
FBgn0011715	FBgn0105113	Dere\GG12837	EOG09190AZY
FBgn0011722	FBgn0115767	Dere\GG23626	EOG091900CE
FBgn0011723	FBgn0107790	Dere\GG15542	EOG091906OS
FBgn0011725	FBgn0278567	Dere\GG27262	EOG09190588
FBgn0011726	FBgn0112159	Dere\GG19959	EOG09190HMV
FBgn0011737	FBgn0115717	Dere\GG23574	EOG091904CI
FBgn0011739	FBgn0104205	Dere\GG11910	EOG091902SH
FBgn0011740	FBgn0109006	Dere\GG16776	EOG0919012I
FBgn0011741	FBgn0111582	Dere\GG19378	EOG09190981
FBgn0011742	FBgn0111521	Dere\GG19317	EOG091908OZ
FBgn0011743	FBgn0112814	Dere\GG20626	EOG091908WW
FBgn0011745	FBgn0111387	Dere\GG19181	EOG091909CU
FBgn0011746	FBgn0115552	Dere\GG23405	EOG09190ARG
FBgn0011747	FBgn0108694	Dere\GG16463	EOG091900GT
FBgn0011754	FBgn0110653	Dere\GG18438	EOG09190895
FBgn0011758	FBgn0111322	Dere\GG19116	EOG09190FH8
FBgn0011761	FBgn0110958	Dere\dhd	EOG09190J94
FBgn0011762	FBgn0106566	Dere\GG14305	EOG0919083Q
FBgn0011763	FBgn0112558	Dere\GG20367	EOG091908XR
FBgn0011766	FBgn0106676	Dere\GG14417	EOG091909BJ
FBgn0011768	FBgn0109483	Dere\GG17256	EOG09190A4F
FBgn0011769	FBgn0106311	Dere\GG14049	EOG09190GGV
FBgn0011770	FBgn0111137	Dere\GG18931	EOG09190FEI
FBgn0011771	FBgn0105456	Dere\GG13184	EOG0919016L
FBgn0011774	FBgn0110328	Dere\GG18111	EOG0919042H
FBgn0011785	FBgn0103580	Dere\GG11279	EOG091900CQ
FBgn0011787	FBgn0084130	Dere\GG14359	EOG09190IS4
FBgn0011802	FBgn0106234	Dere\GG13972	EOG091901TW
FBgn0011817	FBgn0106720	Dere\GG14461	EOG091908YC
FBgn0011818	FBgn0116990	Dere\GG24861	EOG09190BGJ
FBgn0011822	FBgn0105049	Dere\GG12763	EOG091908PT
FBgn0011824	FBgn0112990	Dere\GG20804	EOG09190JFP
FBgn0011828	FBgn0106767	Dere\GG14508	EOG091900PR
FBgn0011829	FBgn0113693	Dere\GG21515	EOG091900TQ
FBgn0011832	FBgn0116671	Dere\GG24539	EOG09190FI2
FBgn0011836	FBgn0106258	Dere\GG13996	EOG0919011D
FBgn0011837	FBgn0109957	Dere\GG17735	EOG09190EV9
FBgn0012034	FBgn0105522	Dere\GG13250	EOG091903JX
FBgn0012036	FBgn0117466	Dere\GG25345	EOG091905MO
FBgn0012037	FBgn0116034	Dere\GG23895	EOG091904D6
FBgn0012051	FBgn0114147	Dere\GG21969	EOG0919025H
FBgn0012058	FBgn0107241	Dere\GG14987	EOG091902ML
FBgn0012344	FBgn0109221	Dere\GG16993	EOG09190EFQ
FBgn0013263	FBgn0105975	Dere\GG13712	EOG0919089I
FBgn0013269	FBgn0112858	Dere\GG20671	EOG09190ERR
FBgn0013272	FBgn0114352	Dere\GG22178	EOG0919044E
FBgn0013303	FBgn0108311	Dere\GG16076	EOG09190FV9
FBgn0013305	FBgn0114713	Dere\GG22542	EOG09190DZ2
FBgn0013307	FBgn0115474	Dere\GG23323	EOG0919099U
FBgn0013308	FBgn0115475	Dere\GG23324	EOG09190A7F
FBgn0013323	FBgn0116769	Dere\GG24637	EOG09190GZY
FBgn0013325	FBgn0114149	Dere\GG21971	EOG09190FZY
FBgn0013334	FBgn0109193	Dere\GG16965	EOG09190AFO
FBgn0013342	FBgn0106838	Dere\GG14581	EOG09190K0N
FBgn0013343	FBgn0277484	Dere\GG26179	EOG09190CYQ
FBgn0013347	FBgn0104685	Dere\GG12397	EOG09190J84
FBgn0013348	FBgn0103182	Dere\GG10878	EOG09190HHT
FBgn0013432	FBgn0104936	Dere\GG12648	EOG09190JSS
FBgn0013433	FBgn0117313	Dere\GG25189	EOG09190AKW
FBgn0013435	FBgn0117358	Dere\GG25234	EOG091909HM
FBgn0013467	FBgn0112690	Dere\GG20500	EOG09190H3L
FBgn0013469	FBgn0106213	Dere\GG13951	EOG09190A1X
FBgn0013531	FBgn0115626	Dere\GG23479	EOG09190DJA
FBgn0013548	FBgn0115036	Dere\GG22879	EOG091902V6
FBgn0013563	FBgn0107916	Dere\GG15672	EOG091901LF
FBgn0013576	FBgn0103377	Dere\GG11075	EOG091900XH
FBgn0013717	FBgn0107977	Dere\GG15734	EOG09190642
FBgn0013718	FBgn0107923	Dere\GG15679	EOG09190A51
FBgn0013720	FBgn0105134	Dere\GG12859	EOG09190DA8
FBgn0013725	FBgn0114594	Dere\GG22422	EOG09190CL0
FBgn0013726	FBgn0115496	Dere\GG23345	EOG0919093G
FBgn0013732	FBgn0115361	Dere\GG23210	EOG0919034H
FBgn0013733	FBgn0114633	Dere\GG22462	EOG09190005
FBgn0013746	FBgn0116179	Dere\GG24040	EOG0919082E
FBgn0013749	FBgn0108639	Dere\GG16407	EOG09190GFE
FBgn0013750	FBgn0112701	Dere\GG20511	EOG09190GI5
FBgn0013751	FBgn0107417	Dere\GG15164	EOG09190C14
FBgn0013753	FBgn0107064	Dere\GG14808	EOG09190EZV
FBgn0013755	FBgn0084315	Dere\GG14810	EOG09190F9U
FBgn0013756	FBgn0112416	Dere\GG20225	EOG091900A3
FBgn0013762	FBgn0114516	Dere\GG22344	EOG09190C37
FBgn0013763	FBgn0112811	Dere\GG20623	EOG091907E2
FBgn0013764	FBgn0112162	Dere\GG19962	EOG0919060W
FBgn0013765	FBgn0114662	Dere\GG22491	EOG09190105
FBgn0013767	FBgn0064625	Dere\Crz	EOG09190IIV
FBgn0013770	FBgn0112604	Dere\GG20414	EOG09190AQX
FBgn0013773	FBgn0112677	Dere\GG20487	EOG091906AK
FBgn0013799	FBgn0108295	Dere\GG16060	EOG091907PW
FBgn0013810	FBgn0113276	Dere\GG21093	EOG0919001E
FBgn0013811	FBgn0106821	Dere\GG14564	EOG0919001O
FBgn0013812	FBgn0107258	Dere\GG15004	EOG0919000T
FBgn0013813	FBgn0103899	Dere\GG11602	EOG0919000G
FBgn0013949	FBgn0103631	Dere\GG11330	EOG09190J76
FBgn0013953	FBgn0103626	Dere\GG11325	EOG0919043G
FBgn0013954	FBgn0114135	Dere\GG21957	EOG09190J2E
FBgn0013972	FBgn0103975	Dere\GG11679	EOG091903L2
FBgn0013973	FBgn0104087	Dere\GG11792	EOG091903DZ
FBgn0013983	FBgn0113156	Dere\GG20972	EOG09190D86
FBgn0013987	FBgn0110685	Dere\GG18472	EOG09190A35
FBgn0013995	FBgn0116409	Dere\GG24277	EOG091901SK
FBgn0013997	FBgn0107810	Dere\GG15562	EOG091900HL
FBgn0014000	FBgn0113778	Dere\GG21600	EOG09190FBV
FBgn0014002	FBgn0105945	Dere\GG13681	EOG091907MH
FBgn0014006	FBgn0064616	Dere\Pk92B	EOG091900OB
FBgn0014007	FBgn0107837	Dere\GG15591	EOG091900RW
FBgn0014009	FBgn0115370	Dere\GG23219	EOG09190FIQ
FBgn0014010	FBgn0116659	Dere\GG24527	EOG09190FCJ
FBgn0014018	FBgn0109622	Dere\GG17396	EOG09190381
FBgn0014019	FBgn0115894	Dere\GG23755	EOG0919090V
FBgn0014020	FBgn0112756	Dere\GG20566	EOG09190FFR
FBgn0014022	FBgn0109061	Dere\GG16831	EOG091909DY
FBgn0014023	FBgn0109592	Dere\GG17365	EOG09190DIF
FBgn0014024	FBgn0110714	Dere\GG18501	EOG09190377
FBgn0014026	FBgn0109892	Dere\GG17670	EOG09190EBB
FBgn0014028	FBgn0115375	Dere\GG23224	EOG09190BT5
FBgn0014029	FBgn0107576	Dere\GG15324	EOG091908LV
FBgn0014031	FBgn0111794	Dere\GG19592	EOG091908SR
FBgn0014032	FBgn0111252	Dere\GG19046	EOG09190DKT
FBgn0014037	FBgn0277543	Dere\GG26238	EOG091905ZK
FBgn0014073	FBgn0106437	Dere\GG14176	EOG0919041P
FBgn0014075	FBgn0108246	Dere\GG16011	EOG091900IK
FBgn0014076	FBgn0102626	Dere\GG10317	EOG09190KNS
FBgn0014092	FBgn0117329	Dere\GG25205	EOG09190CIC
FBgn0014127	FBgn0113772	Dere\GG21594	EOG091908H5
FBgn0014133	FBgn0110652	Dere\GG18437	EOG091905YY
FBgn0014135	FBgn0108080	Dere\GG15841	EOG091909BR
FBgn0014141	FBgn0109022	Dere\GG16792	EOG0919003S
FBgn0014143	FBgn0105505	Dere\GG13233	EOG09190AXL
FBgn0014163	FBgn0105724	Dere\GG13452	EOG09190BXY
FBgn0014179	FBgn0116158	Dere\GG24019	EOG0919081P
FBgn0014184	FBgn0114773	Dere\GG22602	EOG09190E23
FBgn0014189	FBgn0116429	Dere\GG24297	EOG091909H6
FBgn0014269	FBgn0113115	Dere\GG20931	EOG09190CCD
FBgn0014340	FBgn0110676	Dere\GG18463	EOG09190274
FBgn0014342	FBgn0103271	Dere\GG10968	EOG091906SW
FBgn0014343	FBgn0107834	Dere\GG15588	EOG091906IL
FBgn0014366	FBgn0103241	Dere\GG10938	EOG091906ZR
FBgn0014380	FBgn0109596	Dere\GG17369	EOG09190G8W
FBgn0014388	FBgn0106519	Dere\GG14258	EOG09190AL3
FBgn0014391	FBgn0111570	Dere\GG19366	EOG09190KMP
FBgn0014395	FBgn0111943	Dere\GG19742	EOG09190CIP
FBgn0014396	FBgn0116567	Dere\GG24435	EOG091900Y8
FBgn0014411	FBgn0105160	Dere\GG12886	EOG091909C4
FBgn0014417	FBgn0115588	Dere\GG23441	EOG091904HJ
FBgn0014427	FBgn0103950	Dere\GG11653	EOG09190AHX
FBgn0014454	FBgn0115658	Dere\GG23512	EOG09190JQP
FBgn0014455	FBgn0110098	Dere\GG17878	EOG091907UF
FBgn0014464	FBgn0110468	Dere\GG18252	EOG09190F7V
FBgn0014465	FBgn0110469	Dere\GG18253	EOG091907O8
FBgn0014466	FBgn0110470	Dere\GG18254	EOG09190HNX
FBgn0014849	FBgn0108156	Dere\GG15921	EOG09190J9Y
FBgn0014859	FBgn0113735	Dere\GG21557	EOG091905GS
FBgn0014861	FBgn0116276	Dere\GG24143	EOG091902C3
FBgn0014863	FBgn0102392	Dere\GG10080	EOG0919062N
FBgn0014865	FBgn0112707	Dere\GG20517	EOG09190KT9
FBgn0014868	FBgn0111205	Dere\GG18999	EOG091907NS
FBgn0014870	FBgn0114412	Dere\GG22239	EOG09190BKE
FBgn0014877	FBgn0112581	Dere\GG20391	EOG09190FSG
FBgn0014879	FBgn0109131	Dere\GG16903	EOG09190EUC
FBgn0014903	FBgn0105102	Dere\GG12825	EOG091909CP
FBgn0014906	FBgn0117053	Dere\GG24924	EOG091908I0
FBgn0014930	FBgn0116981	Dere\GG24851	EOG09190H8Q
FBgn0014931	FBgn0106546	Dere\GG14285	EOG09190A15
FBgn0014949	FBgn0104790	Dere\GG12502	EOG09190H15
FBgn0015000	FBgn0117160	Dere\GG25031	EOG09190AAK
FBgn0015001	FBgn0112387	Dere\GG20196	EOG09190H5J
FBgn0015008	FBgn0109035	Dere\GG16805	EOG091905C7
FBgn0015010	FBgn0111652	Dere\GG19449	EOG09190D6K
FBgn0015011	FBgn0109034	Dere\GG16804	EOG091906PT
FBgn0015019	FBgn0113963	Dere\GG21785	EOG091905SN
FBgn0015024	FBgn0109956	Dere\GG17734	EOG09190AXE
FBgn0015025	FBgn0108164	Dere\GG15929	EOG091909QF
FBgn0015031	FBgn0117196	Dere\GG25067	EOG09190KAQ
FBgn0015032	FBgn0104078	Dere\GG11783	EOG091905L3
FBgn0015033	FBgn0107210	Dere\GG14956	EOG091906CF
FBgn0015036	FBgn0105188	Dere\GG12915	EOG091906TZ
FBgn0015040	FBgn0115152	Dere\GG22995	EOG09190693
FBgn0015075	FBgn0108482	Dere\GG16247	EOG0919035T
FBgn0015218	FBgn0106306	Dere\GG14044	EOG09190FJK
FBgn0015221	FBgn0104042	Dere\GG11747	EOG09190FXW
FBgn0015222	FBgn0104241	Dere\GG11946	EOG09190GM2
FBgn0015229	FBgn0104843	Dere\GG12555	EOG09190HGE
FBgn0015230	FBgn0113985	Dere\GG21807	EOG09190A6L
FBgn0015239	FBgn0105502	Dere\GG13230	EOG091906CX
FBgn0015240	FBgn0103647	Dere\GG11347	EOG091903ZD
FBgn0015247	FBgn0114494	Dere\GG22322	EOG0919069K
FBgn0015268	FBgn0112179	Dere\GG19979	EOG09190B5S
FBgn0015269	FBgn0103747	Dere\GG11448	EOG0919003D
FBgn0015270	FBgn0109059	Dere\GG16829	EOG091907F0
FBgn0015271	FBgn0116025	Dere\GG23886	EOG09190A30
FBgn0015277	FBgn0115024	Dere\GG22867	EOG091902BA
FBgn0015278	FBgn0106152	Dere\GG13889	EOG091900FN
FBgn0015279	FBgn0107542	Dere\GG15290	EOG09190179
FBgn0015282	FBgn0104678	Dere\GG12390	EOG0919084S
FBgn0015283	FBgn0108433	Dere\GG16198	EOG09190BNO
FBgn0015286	FBgn0110783	Dere\GG18572	EOG09190ERT
FBgn0015288	FBgn0105031	Dere\GG12744	EOG09190JO1
FBgn0015295	FBgn0114465	Dere\GG22293	EOG0919021U
FBgn0015296	FBgn0107627	Dere\GG15375	EOG0919093V
FBgn0015298	FBgn0107228	Dere\GG14974	EOG09190HUX
FBgn0015299	FBgn0102832	Dere\GG10524	EOG09190KGE
FBgn0015300	FBgn0112123	Dere\GG19923	EOG09190GET
FBgn0015316	FBgn0117446	Dere\GG25325	EOG09190DCQ
FBgn0015320	FBgn0102668	Dere\GG10359	EOG09190GCJ
FBgn0015321	FBgn0107653	Dere\GG15402	EOG09190FY0
FBgn0015331	FBgn0278032	Dere\GG26727	EOG091904UW
FBgn0015336	FBgn0110454	Dere\GG18238	EOG091901XG
FBgn0015338	FBgn0116307	Dere\GG24174	EOG09190EGG
FBgn0015351	FBgn0109045	Dere\GG16815	EOG09190A0B
FBgn0015359	FBgn0107105	Dere\GG14850	EOG09190GNH
FBgn0015360	FBgn0084999	Dere\oxt	EOG091902O3
FBgn0015371	FBgn0112688	Dere\GG20498	EOG0919036L
FBgn0015372	FBgn0112223	Dere\GG20024	EOG09190DZ4
FBgn0015376	FBgn0116536	Dere\GG24404	EOG091901U6
FBgn0015379	FBgn0111924	Dere\GG19723	EOG09190HQY
FBgn0015380	FBgn0113348	Dere\GG21167	EOG0919047B
FBgn0015381	FBgn0117232	Dere\GG25103	EOG0919088R
FBgn0015391	FBgn0112304	Dere\GG20110	EOG091900WC
FBgn0015393	FBgn0102360	Dere\GG10048	EOG09190JM1
FBgn0015396	FBgn0109754	Dere\GG17529	EOG091905D1
FBgn0015399	FBgn0084976	Dere\GG10236	EOG091903TX
FBgn0015400	FBgn0084319	Dere\GG23727	EOG091903PM
FBgn0015402	FBgn0084866	Dere\GG10992	EOG091902B2
FBgn0015477	FBgn0102882	Dere\GG10574	EOG0919005M
FBgn0015509	FBgn0115462	Dere\GG23311	EOG091902SD
FBgn0015513	FBgn0103531	Dere\GG11230	EOG091900A6
FBgn0015519	FBgn0110189	Dere\GG17970	EOG0919041X
FBgn0015520	FBgn0113942	Dere\GG21764	EOG091909E1
FBgn0015521	FBgn0117021	Dere\GG24892	EOG09190JZQ
FBgn0015522	FBgn0114008	Dere\GG21830	EOG09190DUO
FBgn0015524	FBgn0113008	Dere\GG20822	EOG09190DLZ
FBgn0015527	FBgn0109767	Dere\GG17542	EOG091904RJ
FBgn0015541	FBgn0103809	Dere\GG11512	EOG091901BT
FBgn0015544	FBgn0115105	Dere\GG22948	EOG09190768
FBgn0015546	FBgn0117245	Dere\GG25117	EOG091902EL
FBgn0015550	FBgn0105877	Dere\GG13612	EOG09190C4T
FBgn0015553	FBgn0113872	Dere\GG21694	EOG09190485
FBgn0015558	FBgn0109768	Dere\GG17543	EOG091903R4
FBgn0015561	FBgn0115572	Dere\GG23425	EOG091909TO
FBgn0015568	FBgn0117201	Dere\GG25072	EOG091902U8
FBgn0015569	FBgn0117308	Dere\GG25183	EOG091905UZ
FBgn0015570	FBgn0106391	Dere\GG14130	EOG091904L6
FBgn0015572	FBgn0117212	Dere\GG25083	EOG09190540
FBgn0015574	FBgn0117244	Dere\GG25116	EOG091904YR
FBgn0015575	FBgn0117253	Dere\GG25127	EOG091905BA
FBgn0015576	FBgn0117275	Dere\GG25150	EOG091904I6
FBgn0015577	FBgn0117297	Dere\GG25172	EOG091904IM
FBgn0015582	FBgn0114840	Dere\GG22675	EOG0919077Z
FBgn0015584	FBgn0114419	Dere\GG22246	EOG09190J9D
FBgn0015589	FBgn0104343	Dere\GG12051	EOG091900FA
FBgn0015591	FBgn0104616	Dere\GG12326	EOG09190HYM
FBgn0015600	FBgn0116592	Dere\GG24460	EOG091900EU
FBgn0015602	FBgn0112670	Dere\GG20480	EOG09190FC4
FBgn0015609	FBgn0113906	Dere\GG21728	EOG0919002J
FBgn0015615	FBgn0110461	Dere\GG18245	EOG0919011V
FBgn0015618	FBgn0106263	Dere\GG14001	EOG091908TJ
FBgn0015621	FBgn0278431	Dere\GG27126	EOG09190BQP
FBgn0015622	FBgn0104311	Dere\GG12019	EOG091905DK
FBgn0015623	FBgn0102714	Dere\GG10405	EOG091903GV
FBgn0015625	FBgn0104596	Dere\GG12306	EOG091905UP
FBgn0015663	FBgn0117085	Dere\GG24956	EOG091906AF
FBgn0015664	FBgn0116125	Dere\GG23986	EOG091903JJ
FBgn0015721	FBgn0114263	Dere\GG22088	EOG091909XU
FBgn0015737	FBgn0103842	Dere\GG11545	EOG09190729
FBgn0015754	FBgn0112767	Dere\GG20577	EOG0919090G
FBgn0015756	FBgn0102643	Dere\GG10334	EOG09190G7L
FBgn0015765	FBgn0104658	Dere\GG12369	EOG091909LN
FBgn0015766	FBgn0106386	Dere\GG14125	EOG09190A3L
FBgn0015772	FBgn0113847	Dere\GG21669	EOG091901A4
FBgn0015773	FBgn0111656	Dere\GG19453	EOG091902ZE
FBgn0015774	FBgn0111655	Dere\GG19452	EOG0919034C
FBgn0015776	FBgn0115724	Dere\GG23582	EOG09190B8Q
FBgn0015777	FBgn0115723	Dere\GG23580	EOG09190AEW
FBgn0015778	FBgn0111971	Dere\GG19770	EOG09190AH8
FBgn0015781	FBgn0115271	Dere\GG23118	EOG09190DP3
FBgn0015789	FBgn0111481	Dere\GG19277	EOG09190FM3
FBgn0015790	FBgn0116498	Dere\GG24366	EOG09190F7G
FBgn0015793	FBgn0106556	Dere\GG14295	EOG09190F81
FBgn0015794	FBgn0110694	Dere\GG18481	EOG09190FRW
FBgn0015795	FBgn0103544	Dere\GG11243	EOG09190F8S
FBgn0015797	FBgn0102581	Dere\GG10272	EOG09190FE9
FBgn0015799	FBgn0105029	Dere\GG12742	EOG0919029U
FBgn0015801	FBgn0112089	Dere\GG19888	EOG09190D6G
FBgn0015803	FBgn0113410	Dere\GG21230	EOG091900Z3
FBgn0015805	FBgn0107493	Dere\Rpd3	EOG09190808
FBgn0015818	FBgn0111779	Dere\GG19577	EOG09190EJC
FBgn0015828	FBgn0107768	Dere\GG15520	EOG091909LU
FBgn0015829	FBgn0107469	Dere\GG15217	EOG09190D9F
FBgn0015831	FBgn0117233	Dere\GG25105	EOG09190CKP
FBgn0015834	FBgn0116467	Dere\GG24335	EOG09190AWK
FBgn0015838	FBgn0115558	Dere\GG23411	EOG091905RD
FBgn0015872	FBgn0114817	Dere\GG22646	EOG09190FNI
FBgn0015903	FBgn0115026	Dere\GG22869	EOG091908KU
FBgn0015904	FBgn0107830	Dere\GG15584	EOG0919073Y
FBgn0015905	FBgn0116892	Dere\GG24761	EOG091902ZX
FBgn0015919	FBgn0107831	Dere\GG15585	EOG091909N1
FBgn0015924	FBgn0116780	Dere\GG24648	EOG091906KQ
FBgn0015925	FBgn0112776	Dere\GG20586	EOG091904FH
FBgn0015926	FBgn0110095	Dere\GG17875	EOG091904XU
FBgn0015929	FBgn0103045	Dere\GG10740	EOG0919022Q
FBgn0015946	FBgn0107988	Dere\GG15746	EOG09190JSV
FBgn0015949	FBgn0113080	Dere\GG20896	EOG091903LG
FBgn0016013	FBgn0106485	Dere\GG14224	EOG091908OI
FBgn0016031	FBgn0106399	Dere\GG14138	EOG091903LB
FBgn0016032	FBgn0115403	Dere\GG23252	EOG09190FNS
FBgn0016034	FBgn0108509	Dere\GG16274	EOG091908SD
FBgn0016036	FBgn0106672	Dere\GG14413	EOG091908JQ
FBgn0016038	FBgn0105075	Dere\GG12797	EOG09190FQL
FBgn0016041	FBgn0111859	Dere\GG19657	EOG09190CEM
FBgn0016047	FBgn0114832	Dere\GG22667	EOG091900X1
FBgn0016053	FBgn0114353	Dere\GG22179	EOG09190KL0
FBgn0016054	FBgn0113740	Dere\GG21562	EOG091905FM
FBgn0016059	FBgn0113214	Dere\GG21030	EOG091902SQ
FBgn0016061	FBgn0104407	Dere\GG12115	EOG0919021C
FBgn0016070	FBgn0107297	Dere\GG15043	EOG091902CQ
FBgn0016075	FBgn0116457	Dere\GG24325	EOG091900S4
FBgn0016076	FBgn0117195	Dere\GG25066	EOG091905JO
FBgn0016078	FBgn0102865	Dere\GG10557	EOG09190B7D
FBgn0016080	FBgn0110417	Dere\GG18201	EOG091903I0
FBgn0016081	FBgn0106279	Dere\GG14017	EOG0919002R
FBgn0016119	FBgn0104728	Dere\GG12440	EOG09190JBT
FBgn0016120	FBgn0084213	Dere\GG23134	EOG09190GGH
FBgn0016122	FBgn0117415	Dere\GG25294	EOG091904KD
FBgn0016123	FBgn0104084	Dere\GG11789	EOG091906RF
FBgn0016126	FBgn0108620	Dere\GG16388	EOG0919096D
FBgn0016131	FBgn0112804	Dere\GG20615	EOG09190BKM
FBgn0016641	FBgn0112947	Dere\GG20761	EOG091900U3
FBgn0016650	FBgn0114642	Dere\GG22471	EOG091903WI
FBgn0016660	FBgn0117200	Dere\GG25071	EOG09190AVZ
FBgn0016672	FBgn0112096	Dere\GG19895	EOG091909TV
FBgn0016675	FBgn0113355	Dere\GG21174	EOG09190FRD
FBgn0016684	FBgn0114566	Dere\GG22394	EOG091907LI
FBgn0016685	FBgn0104016	Dere\GG11720	EOG09190IPL
FBgn0016687	FBgn0112118	Dere\GG19918	EOG09190AIA
FBgn0016691	FBgn0109132	Dere\GG16904	EOG09190FUK
FBgn0016693	FBgn0111409	Dere\GG19203	EOG0919057K
FBgn0016694	FBgn0107189	Dere\GG14935	EOG09190E6R
FBgn0016696	FBgn0108370	Dere\GG16135	EOG09190453
FBgn0016697	FBgn0112862	Dere\GG20675	EOG09190E5P
FBgn0016698	FBgn0117065	Dere\GG24936	EOG09190B1D
FBgn0016701	FBgn0113980	Dere\GG21802	EOG09190F8E
FBgn0016715	FBgn0106910	Dere\GG14654	EOG09190CYR
FBgn0016726	FBgn0114282	Dere\GG22107	EOG09190K81
FBgn0016754	FBgn0104682	Dere\GG12394	EOG09190242
FBgn0016756	FBgn0107535	Dere\GG15283	EOG091900JI
