FBgn0000008	FBgn0231782	Dyak\GE14160	EOG091902HN
FBgn0026563	FBgn0241986	Dyak\GE24889	EOG091902L6
FBgn0026565	FBgn0242892	Dyak\GE25842	EOG091909EW
FBgn0026566	FBgn0242891	Dyak\GE25841	EOG09190HA6
FBgn0026573	FBgn0230139	Dyak\GE12393	EOG091901FF
FBgn0026575	FBgn0234749	Dyak\GE17273	EOG0919016S
FBgn0026576	FBgn0240625	Dyak\GE23441	EOG091907GK
FBgn0026577	FBgn0230622	Dyak\GE12907	EOG091900CY
FBgn0026582	FBgn0229938	Dyak\GE12173	EOG09190CN6
FBgn0026592	FBgn0238646	Dyak\GE21385	EOG09190DM9
FBgn0026593	FBgn0238167	Dyak\GE20878	EOG09190A9Y
FBgn0026597	FBgn0228686	Dyak\GE10849	EOG09190493
FBgn0026598	FBgn0240638	Dyak\GE23455	EOG091901IW
FBgn0026602	FBgn0241281	Dyak\GE24147	EOG09190AV5
FBgn0026616	FBgn0241462	Dyak\GE24341	EOG09190163
FBgn0026619	FBgn0231098	Dyak\GE13423	EOG09190CKB
FBgn0026620	FBgn0067922	Dyak\tacc	EOG0919017Q
FBgn0026634	FBgn0243411	Dyak\GE26383	EOG091903DP
FBgn0026666	FBgn0234690	Dyak\GE17212	EOG09190JF7
FBgn0026679	FBgn0234913	Dyak\GE17446	EOG091901V3
FBgn0026702	FBgn0233940	Dyak\GE16413	EOG091902PX
FBgn0026713	FBgn0234608	Dyak\GE17127	EOG091901BD
FBgn0026718	FBgn0228800	Dyak\GE10971	EOG09190D01
FBgn0026721	FBgn0229440	Dyak\GE11642	EOG091902GA
FBgn0026722	FBgn0236518	Dyak\GE19158	EOG091900SI
FBgn0026737	FBgn0068280	Dyak\GE26382	EOG09190E1K
FBgn0026741	FBgn0067953	Dyak\mRpL18	EOG09190GKK
FBgn0026749	FBgn0233704	Dyak\GE16160	EOG09190IKN
FBgn0026751	FBgn0233924	Dyak\GE16396	EOG091906NU
FBgn0026755	FBgn0231390	Dyak\GE13736	EOG091905ZO
FBgn0026760	FBgn0067436	Dyak\Tehao	EOG091904WP
FBgn0026761	FBgn0241782	Dyak\GE24676	EOG091903G6
FBgn0026777	FBgn0232146	Dyak\GE14546	EOG091908UX
FBgn0026778	FBgn0232671	Dyak\GE15082	EOG09190D5Q
FBgn0026787	FBgn0234002	Dyak\GE16483	EOG091904E6
FBgn0026869	FBgn0232115	Dyak\GE14511	EOG091900I1
FBgn0026872	FBgn0234185	Dyak\GE16688	EOG09190FRF
FBgn0026873	FBgn0234209	Dyak\GE16712	EOG09190F0M
FBgn0026876	FBgn0234054	Dyak\GE16539	EOG091906WN
FBgn0026878	FBgn0234473	Dyak\GE16987	EOG09190KD8
FBgn0027052	FBgn0066136	Dyak\CHIP	EOG09190C9K
FBgn0027053	FBgn0068181	Dyak\CSN5	EOG09190AXD
FBgn0027054	FBgn0236526	Dyak\GE19166	EOG091908SC
FBgn0027066	FBgn0236436	Dyak\GE19075	EOG09190DI6
FBgn0027070	FBgn0230904	Dyak\GE13210	EOG0919068C
FBgn0027074	FBgn0230902	Dyak\GE13207	EOG091905Y5
FBgn0027079	FBgn0068538	Dyak\Aats-val	EOG091901MO
FBgn0027081	FBgn0068539	Dyak\Aats-thr	EOG09190336
FBgn0027082	FBgn0238944	Dyak\GE21696	EOG091907HG
FBgn0027083	FBgn0227924	Dyak\GE10041	EOG091904WR
FBgn0027084	FBgn0233017	Dyak\GE15441	EOG091905VW
FBgn0027085	FBgn0238726	Dyak\GE21469	EOG091902LP
FBgn0027086	FBgn0239827	Dyak\GE22611	EOG091900TG
FBgn0027087	FBgn0235177	Dyak\GE17731	EOG09190610
FBgn0027088	FBgn0239278	Dyak\GE22046	EOG0919034G
FBgn0027090	FBgn0228564	Dyak\GE10719	EOG091902S2
FBgn0027091	FBgn0229554	Dyak\GE11760	EOG0919046N
FBgn0027093	FBgn0233567	Dyak\GE16015	EOG091904D5
FBgn0027094	FBgn0228859	Dyak\GE11031	EOG091901M1
FBgn0027095	FBgn0241512	Dyak\GE24392	EOG09190H8H
FBgn0027101	FBgn0232088	Dyak\GE14483	EOG091902ZK
FBgn0027106	FBgn0235010	Dyak\GE17551	EOG091907TD
FBgn0027107	FBgn0232940	Dyak\GE15360	EOG091907TV
FBgn0027108	FBgn0233262	Dyak\GE15694	EOG09190AJN
FBgn0027109	FBgn0241691	Dyak\GE24580	EOG09190JUG
FBgn0027111	FBgn0238353	Dyak\GE21073	EOG09190FYW
FBgn0027259	FBgn0234765	Dyak\GE17291	EOG09190H2L
FBgn0027279	FBgn0235376	Dyak\GE17941	EOG091900E1
FBgn0027280	FBgn0234957	Dyak\GE17494	EOG0919037D
FBgn0027287	FBgn0234673	Dyak\GE17194	EOG0919029M
FBgn0027296	FBgn0234446	Dyak\GE16959	EOG09190A7H
FBgn0027329	FBgn0234692	Dyak\GE17214	EOG0919074S
FBgn0027330	FBgn0234900	Dyak\GE17433	EOG091902AL
FBgn0027334	FBgn0068478	Dyak\GE17874	EOG09190FJ0
FBgn0027335	FBgn0233083	Dyak\GE15507	EOG091907L6
FBgn0027338	FBgn0241863	Dyak\GE24760	EOG091905WM
FBgn0027339	FBgn0236831	Dyak\GE19490	EOG091904FN
FBgn0027341	FBgn0242469	Dyak\GE25392	EOG0919038L
FBgn0027342	FBgn0234999	Dyak\GE17540	EOG091904CT
FBgn0027343	FBgn0234135	Dyak\GE16636	EOG091906AH
FBgn0027348	FBgn0236386	Dyak\GE19019	EOG09190466
FBgn0027356	FBgn0230223	Dyak\GE12480	EOG091906V3
FBgn0027358	FBgn0234840	Dyak\GE17372	EOG09190JG8
FBgn0027359	FBgn0233486	Dyak\GE15929	EOG09190JRX
FBgn0027360	FBgn0276952	Dyak\GE28797	EOG09190K79
FBgn0027363	FBgn0235909	Dyak\GE18494	EOG091909TT
FBgn0027375	FBgn0237339	Dyak\GE20014	EOG091902X0
FBgn0027376	FBgn0240771	Dyak\GE23598	EOG091901MI
FBgn0027378	FBgn0243420	Dyak\GE26393	EOG09190B94
FBgn0027453	FBgn0230922	Dyak\GE13229	EOG09190D31
FBgn0027490	FBgn0228808	Dyak\GE10979	EOG091902F6
FBgn0027491	FBgn0243169	Dyak\GE26130	EOG091908BK
FBgn0027492	FBgn0228413	Dyak\GE10557	EOG0919097N
FBgn0027493	FBgn0242123	Dyak\GE25034	EOG091907O7
FBgn0027494	FBgn0240906	Dyak\GE23749	EOG09190HRT
FBgn0027495	FBgn0230151	Dyak\GE12406	EOG091904XB
FBgn0027496	FBgn0068192	Dyak\GE13901	EOG09190BXE
FBgn0027497	FBgn0228040	Dyak\GE10161	EOG091905US
FBgn0027498	FBgn0233465	Dyak\GE15905	EOG091907RZ
FBgn0027499	FBgn0230780	Dyak\GE13076	EOG091901GF
FBgn0027500	FBgn0239434	Dyak\GE22207	EOG091901M9
FBgn0027503	FBgn0242966	Dyak\GE25917	EOG0919026E
FBgn0027504	FBgn0231143	Dyak\GE13474	EOG091903QI
FBgn0027505	FBgn0230200	Dyak\GE12457	EOG091900QR
FBgn0027506	FBgn0231816	Dyak\GE14194	EOG091904K7
FBgn0027507	FBgn0237822	Dyak\GE20508	EOG091903GS
FBgn0027508	FBgn0228527	Dyak\GE10679	EOG091900QN
FBgn0027509	FBgn0235378	Dyak\GE17943	EOG0919011Q
FBgn0027512	FBgn0241079	Dyak\GE23936	EOG091900S8
FBgn0027513	FBgn0239969	Dyak\GE22763	EOG09190A7C
FBgn0027514	FBgn0068515	Dyak\GE24101	EOG091905OM
FBgn0027515	FBgn0232232	Dyak\GE14637	EOG091906HE
FBgn0027518	FBgn0228293	Dyak\GE10431	EOG091902CV
FBgn0027521	FBgn0228843	Dyak\GE11014	EOG091904M8
FBgn0027524	FBgn0243045	Dyak\GE26002	EOG09190AO4
FBgn0027525	FBgn0230773	Dyak\GE13069	EOG091907WJ
FBgn0027526	FBgn0228217	Dyak\GE10350	EOG09190C18
FBgn0027527	FBgn0228067	Dyak\GE10189	EOG09190FFF
FBgn0027528	FBgn0233216	Dyak\GE15646	EOG0919028C
FBgn0027529	FBgn0229873	Dyak\GE12104	EOG091901I7
FBgn0027535	FBgn0229794	Dyak\GE12019	EOG091902CH
FBgn0027537	FBgn0234593	Dyak\GE17112	EOG091902GM
FBgn0027538	FBgn0231232	Dyak\GE13570	EOG091909CI
FBgn0027539	FBgn0228616	Dyak\GE10774	EOG091907G6
FBgn0027544	FBgn0240586	Dyak\GE23393	EOG09190AYR
FBgn0027546	FBgn0233250	Dyak\GE15682	EOG09190AOZ
FBgn0027547	FBgn0238184	Dyak\GE20895	EOG09190EPQ
FBgn0027548	FBgn0236524	Dyak\GE19164	EOG091903P0
FBgn0027549	FBgn0238906	Dyak\GE21657	EOG0919058M
FBgn0027550	FBgn0235902	Dyak\GE18487	EOG09190EAO
FBgn0027552	FBgn0237968	Dyak\GE20663	EOG09190B4F
FBgn0027553	FBgn0234973	Dyak\GE17513	EOG0919053P
FBgn0027554	FBgn0237697	Dyak\GE20381	EOG091906TD
FBgn0027556	FBgn0085857	Dyak\GE17635	EOG0919070B
FBgn0027558	FBgn0241375	Dyak\GE24246	EOG091903PK
FBgn0027560	FBgn0235709	Dyak\GE18284	EOG091902CN
FBgn0027561	FBgn0239762	Dyak\GE22543	EOG09190420
FBgn0027562	FBgn0243177	Dyak\GE26139	EOG091904V2
FBgn0027563	FBgn0227928	Dyak\GE10045	EOG091909VJ
FBgn0027564	FBgn0234288	Dyak\GE16795	EOG091906R6
FBgn0027567	FBgn0238970	Dyak\GE21724	EOG09190C2N
FBgn0027568	FBgn0243085	Dyak\GE26042	EOG091900VV
FBgn0027569	FBgn0238586	Dyak\GE21322	EOG091904MQ
FBgn0027570	FBgn0242416	Dyak\GE25338	EOG091902IK
FBgn0027572	FBgn0229683	Dyak\GE11899	EOG091903RS
FBgn0027574	FBgn0240874	Dyak\GE23716	EOG09190ERK
FBgn0027575	FBgn0241229	Dyak\GE24090	EOG09190165
FBgn0027579	FBgn0240926	Dyak\GE23770	EOG091902FU
FBgn0027580	FBgn0239217	Dyak\GE21984	EOG09190160
FBgn0027581	FBgn0231027	Dyak\GE13347	EOG091904O6
FBgn0027582	FBgn0230707	Dyak\GE12999	EOG09190169
FBgn0027583	FBgn0228294	Dyak\GE10432	EOG09190BVM
FBgn0027584	FBgn0243115	Dyak\GE26073	EOG0919060O
FBgn0027585	FBgn0236580	Dyak\GE19226	EOG0919018F
FBgn0027586	FBgn0236036	Dyak\GE18631	EOG09190ECP
FBgn0027587	FBgn0238320	Dyak\GE21040	EOG09190329
FBgn0027588	FBgn0232874	Dyak\GE15288	EOG0919025J
FBgn0027589	FBgn0239313	Dyak\GE22083	EOG091906UL
FBgn0027590	FBgn0068397	Dyak\GE11420	EOG09190ENR
FBgn0027592	FBgn0234361	Dyak\GE16869	EOG091908VD
FBgn0027594	FBgn0238213	Dyak\GE20925	EOG091900Y7
FBgn0027596	FBgn0230030	Dyak\GE12273	EOG091900TN
FBgn0027597	FBgn0233021	Dyak\GE15445	EOG091909ND
FBgn0027598	FBgn0228736	Dyak\GE10904	EOG091904MA
FBgn0027599	FBgn0229207	Dyak\GE11397	EOG09190C3G
FBgn0027600	FBgn0236271	Dyak\GE18893	EOG09190BEI
FBgn0027601	FBgn0233627	Dyak\GE16079	EOG091904FK
FBgn0027602	FBgn0233166	Dyak\GE15594	EOG0919046B
FBgn0027607	FBgn0239902	Dyak\GE22694	EOG0919045T
FBgn0027609	FBgn0067945	Dyak\morgue	EOG091907HQ
FBgn0027610	FBgn0243297	Dyak\GE26266	EOG09190DOD
FBgn0027611	FBgn0276489	Dyak\GE28334	EOG0919016F
FBgn0027615	FBgn0237573	Dyak\GE20254	EOG091909D8
FBgn0027616	FBgn0237992	Dyak\GE20687	EOG0919080H
FBgn0027617	FBgn0228614	Dyak\GE10772	EOG09190APJ
FBgn0027619	FBgn0236670	Dyak\GE19320	EOG09190HUF
FBgn0027620	FBgn0228796	Dyak\GE10967	EOG091900Q9
FBgn0027621	FBgn0233409	Dyak\GE15846	EOG091903VG
FBgn0027654	FBgn0240569	Dyak\GE23376	EOG09190GM4
FBgn0027655	FBgn0240953	Dyak\GE23798	EOG0919005D
FBgn0027657	FBgn0243377	Dyak\GE26348	EOG09190HKD
FBgn0027660	FBgn0067942	Dyak\GE22154	EOG091902BR
FBgn0027779	FBgn0230866	Dyak\GE13171	EOG091906HR
FBgn0027780	FBgn0228806	Dyak\GE10977	EOG091901AY
FBgn0027783	FBgn0230037	Dyak\GE12281	EOG091901IN
FBgn0027784	FBgn0242241	Dyak\GE25155	EOG09190B2C
FBgn0027785	FBgn0242640	Dyak\GE25576	EOG09190HP5
FBgn0027786	FBgn0238340	Dyak\GE21060	EOG09190BL6
FBgn0027788	FBgn0240591	Dyak\GE23399	EOG09190BMZ
FBgn0027790	FBgn0238468	Dyak\GE21193	EOG09190J3K
FBgn0027791	FBgn0082380	Dyak\O-fut2	EOG091907NE
FBgn0027794	FBgn0234045	Dyak\GE16530	EOG091901SH
FBgn0027835	FBgn0229746	Dyak\GE11968	EOG0919011H
FBgn0027836	FBgn0231571	Dyak\GE13929	EOG091906KF
FBgn0027841	FBgn0242611	Dyak\GE25546	EOG09190C0V
FBgn0027843	FBgn0239132	Dyak\GE21890	EOG09190AKF
FBgn0027844	FBgn0236082	Dyak\GE18682	EOG09190CDN
FBgn0027864	FBgn0233363	Dyak\GE15798	EOG09190AXN
FBgn0027865	FBgn0228506	Dyak\GE10657	EOG09190D0T
FBgn0027866	FBgn0242437	Dyak\GE25360	EOG0919043R
FBgn0027868	FBgn0231074	Dyak\GE13395	EOG091903QH
FBgn0027872	FBgn0231607	Dyak\GE13971	EOG09190DJF
FBgn0027873	FBgn0250781	Dyak\GE26465	EOG09190337
FBgn0027885	FBgn0230829	Dyak\GE13131	EOG091906JL
FBgn0027889	FBgn0228465	Dyak\GE10612	EOG091906TP
FBgn0027903	FBgn0238460	Dyak\GE21185	EOG091907MN
FBgn0027929	FBgn0236382	Dyak\GE19015	EOG091907GS
FBgn0027930	FBgn0068490	Dyak\GE25404	EOG091909HX
FBgn0027932	FBgn0236159	Dyak\GE18771	EOG091909E0
FBgn0027948	FBgn0241485	Dyak\GE24364	EOG091900CJ
FBgn0027949	FBgn0230961	Dyak\GE13275	EOG09190AMI
FBgn0027950	FBgn0068128	Dyak\MBD-like	EOG09190DTX
FBgn0027951	FBgn0241285	Dyak\GE24151	EOG091902EE
FBgn0028292	FBgn0235230	Dyak\GE17786	EOG091905TE
FBgn0028325	FBgn0233890	Dyak\GE16361	EOG091907XV
FBgn0028327	FBgn0233023	Dyak\GE15447	EOG09190F1N
FBgn0028331	FBgn0232977	Dyak\GE15399	EOG091905DC
FBgn0028336	FBgn0068316	Dyak\GE16764	EOG091906U1
FBgn0028341	FBgn0233016	Dyak\GE15440	EOG0919041N
FBgn0028342	FBgn0235279	Dyak\GE17838	EOG09190IVT
FBgn0028343	FBgn0233158	Dyak\GE15586	EOG091902SU
FBgn0028360	FBgn0234255	Dyak\GE16761	EOG09190509
FBgn0028369	FBgn0233829	Dyak\GE16293	EOG0919033C
FBgn0028370	FBgn0238336	Dyak\GE21056	EOG091902CD
FBgn0028371	FBgn0229626	Dyak\GE11838	EOG09190032
FBgn0028372	FBgn0229845	Dyak\GE12072	EOG091906LI
FBgn0028374	FBgn0243237	Dyak\GE26204	EOG09190I10
FBgn0028375	FBgn0236715	Dyak\GE19370	EOG09190BKR
FBgn0028379	FBgn0067976	Dyak\fan	EOG09190HYW
FBgn0028381	FBgn0243183	Dyak\GE26146	EOG09190BQN
FBgn0028382	FBgn0229657	Dyak\GE11871	EOG09190C4B
FBgn0028387	FBgn0232143	Dyak\GE14543	EOG091903MS
FBgn0028394	FBgn0236172	Dyak\GE18786	EOG091909ZK
FBgn0028397	FBgn0233547	Dyak\GE15993	EOG091909D1
FBgn0028398	FBgn0235611	Dyak\GE18180	EOG09190HJT
FBgn0028406	FBgn0229548	Dyak\GE11754	EOG091907QR
FBgn0028407	FBgn0230148	Dyak\GE12403	EOG09190FRJ
FBgn0028408	FBgn0236622	Dyak\GE19270	EOG09190939
FBgn0028410	FBgn0236022	Dyak\GE18616	EOG09190ABD
FBgn0028411	FBgn0068112	Dyak\Nxt1	EOG09190I32
FBgn0028418	FBgn0237342	Dyak\GE20017	EOG09190H5B
FBgn0028421	FBgn0234776	Dyak\GE17303	EOG0919020I
FBgn0028422	FBgn0242140	Dyak\GE25051	EOG0919021S
FBgn0028424	FBgn0068133	Dyak\JhI-26	EOG091907PR
FBgn0028425	FBgn0230211	Dyak\GE12468	EOG091907D4
FBgn0028426	FBgn0238915	Dyak\GE21666	EOG0919033P
FBgn0028429	FBgn0237617	Dyak\GE20298	EOG09190GG6
FBgn0028430	FBgn0242309	Dyak\GE25225	EOG09190JEM
FBgn0028434	FBgn0231273	Dyak\GE13614	EOG09190DXZ
FBgn0028436	FBgn0228054	Dyak\GE10176	EOG091908EM
FBgn0028467	FBgn0231672	Dyak\GE14044	EOG091901PY
FBgn0028468	FBgn0242764	Dyak\GE25706	EOG091909DW
FBgn0028471	FBgn0228651	Dyak\GE10810	EOG091902KR
FBgn0028473	FBgn0068210	Dyak\GE22324	EOG09190497
FBgn0028474	FBgn0233941	Dyak\GE16414	EOG091904FW
FBgn0028475	FBgn0241073	Dyak\GE23928	EOG091903RY
FBgn0028476	FBgn0240997	Dyak\GE23847	EOG091902JP
FBgn0028479	FBgn0228340	Dyak\GE10479	EOG09190323
FBgn0028480	FBgn0235283	Dyak\GE17842	EOG091908O9
FBgn0028481	FBgn0234721	Dyak\GE17243	EOG091902NX
FBgn0028482	FBgn0235705	Dyak\GE18279	EOG0919035Z
FBgn0028484	FBgn0238673	Dyak\GE21413	EOG091902IM
FBgn0028487	FBgn0241539	Dyak\GE24422	EOG091904A5
FBgn0028490	FBgn0230528	Dyak\GE12807	EOG09190E4S
FBgn0028491	FBgn0233849	Dyak\GE16317	EOG091902UQ
FBgn0028494	FBgn0231606	Dyak\GE13970	EOG091903UC
FBgn0028496	FBgn0231551	Dyak\GE13908	EOG09190096
FBgn0028497	FBgn0229372	Dyak\GE11572	EOG091902IH
FBgn0028499	FBgn0242585	Dyak\GE25519	EOG091903OW
FBgn0028500	FBgn0236852	Dyak\GE19511	EOG091900WD
FBgn0028504	FBgn0238948	Dyak\GE21700	EOG0919037Y
FBgn0028506	FBgn0230805	Dyak\GE13104	EOG09190JIH
FBgn0028507	FBgn0238410	Dyak\GE21133	EOG09190ACI
FBgn0028509	FBgn0236091	Dyak\GE18693	EOG0919026H
FBgn0028513	FBgn0229326	Dyak\GE11525	EOG091906DH
FBgn0028515	FBgn0238638	Dyak\GE21376	EOG09190DFN
FBgn0028516	FBgn0236756	Dyak\GE19413	EOG09190853
FBgn0028518	FBgn0238369	Dyak\GE21089	EOG09190840
FBgn0028519	FBgn0236387	Dyak\GE19020	EOG091906BJ
FBgn0028520	FBgn0238585	Dyak\GE21321	EOG09190FY4
FBgn0028523	FBgn0230535	Dyak\GE12815	EOG09190A2V
FBgn0028525	FBgn0238700	Dyak\GE21442	EOG091906B0
FBgn0028527	FBgn0236073	Dyak\GE18672	EOG091909RB
FBgn0028530	FBgn0242148	Dyak\GE25060	EOG09190B98
FBgn0028531	FBgn0277369	Dyak\GE29214	EOG0919070X
FBgn0028532	FBgn0068233	Dyak\GE18692	EOG09190DS8
FBgn0028533	FBgn0068235	Dyak\GE18691	EOG09190DX8
FBgn0028534	FBgn0236090	Dyak\GE18690	EOG09190DW9
FBgn0028538	FBgn0236081	Dyak\GE18681	EOG091900DY
FBgn0028539	FBgn0236079	Dyak\GE18679	EOG091900FC
FBgn0028540	FBgn0229275	Dyak\GE11470	EOG09190C4A
FBgn0028541	FBgn0236077	Dyak\GE18677	EOG091903UZ
FBgn0028542	FBgn0242320	Dyak\GE25236	EOG0919032V
FBgn0028543	FBgn0242339	Dyak\GE25257	EOG091906X7
FBgn0028546	FBgn0229316	Dyak\GE11514	EOG09190E0U
FBgn0028550	FBgn0234052	Dyak\GE16537	EOG09190B3X
FBgn0028552	FBgn0229295	Dyak\GE11490	EOG09190CNV
FBgn0028554	FBgn0235813	Dyak\GE18395	EOG09190J0Z
FBgn0028560	FBgn0239031	Dyak\GE21786	EOG09190815
FBgn0028561	FBgn0236534	Dyak\GE19174	EOG091907T1
FBgn0028562	FBgn0236533	Dyak\GE19173	EOG0919077Q
FBgn0028563	FBgn0236532	Dyak\GE19172	EOG09190988
FBgn0028567	FBgn0238432	Dyak\GE21156	EOG09190JE7
FBgn0028569	FBgn0230915	Dyak\GE13221	EOG09190JM4
FBgn0028570	FBgn0232725	Dyak\GE15136	EOG09190JLJ
FBgn0028572	FBgn0229145	Dyak\GE11331	EOG091907UM
FBgn0028573	FBgn0237480	Dyak\GE20158	EOG091908LU
FBgn0028577	FBgn0238240	Dyak\GE20955	EOG091907YK
FBgn0028579	FBgn0236434	Dyak\GE19073	EOG091902SN
FBgn0028581	FBgn0275452	Dyak\GE27297	EOG09190CV3
FBgn0028582	FBgn0238880	Dyak\GE21628	EOG091905IQ
FBgn0028622	FBgn0231440	Dyak\GE13788	EOG091909U9
FBgn0028644	FBgn0238555	Dyak\GE21288	EOG091907GT
FBgn0028645	FBgn0236722	Dyak\GE19377	EOG09190AO3
FBgn0028646	FBgn0240579	Dyak\GE23386	EOG091904G5
FBgn0028647	FBgn0240770	Dyak\GE23597	EOG091900N6
FBgn0028648	FBgn0237749	Dyak\GE20434	EOG09190GYX
FBgn0028658	FBgn0229253	Dyak\GE11448	EOG091908NX
FBgn0028662	FBgn0243444	Dyak\GE26419	EOG09190GEW
FBgn0028664	FBgn0237944	Dyak\GE20639	EOG09190KBU
FBgn0028667	FBgn0239057	Dyak\GE21812	EOG09190III
FBgn0028668	FBgn0239058	Dyak\GE21813	EOG09190I5V
FBgn0028669	FBgn0231515	Dyak\GE13869	EOG091901WH
FBgn0028670	FBgn0242283	Dyak\GE25199	EOG0919027D
FBgn0028671	FBgn0240990	Dyak\GE23836	EOG091902J2
FBgn0028675	FBgn0243421	Dyak\GE26395	EOG091900A5
FBgn0028683	FBgn0230227	Dyak\GE12484	EOG09190IQX
FBgn0028684	FBgn0068021	Dyak\Tbp-1	EOG0919089G
FBgn0028685	FBgn0233990	Dyak\GE16469	EOG09190935
FBgn0028686	FBgn0233470	Dyak\GE15910	EOG0919090U
FBgn0028687	FBgn0276658	Dyak\GE28503	EOG091908S5
FBgn0028688	FBgn0068044	Dyak\Rpn7	EOG0919094M
FBgn0028689	FBgn0230049	Dyak\GE12293	EOG091908PJ
FBgn0028690	FBgn0228043	Dyak\GE10165	EOG0919081X
FBgn0028691	FBgn0068043	Dyak\Rpn9	EOG091909WH
FBgn0028692	FBgn0240992	Dyak\GE23840	EOG0919021I
FBgn0028693	FBgn0237191	Dyak\GE19861	EOG09190E0J
FBgn0028694	FBgn0068045	Dyak\Rpn11	EOG09190BRM
FBgn0028695	FBgn0236972	Dyak\GE19634	EOG091902OJ
FBgn0028697	FBgn0068079	Dyak\RpL15	EOG09190GD1
FBgn0028699	FBgn0238730	Dyak\GE21473	EOG091908NR
FBgn0028700	FBgn0230684	Dyak\GE12972	EOG09190AC7
FBgn0028703	FBgn0235833	Dyak\GE18415	EOG0919040S
FBgn0028704	FBgn0228246	Dyak\GE10380	EOG0919049P
FBgn0028707	FBgn0235978	Dyak\GE18570	EOG09190ASX
FBgn0028708	FBgn0242975	Dyak\GE25926	EOG09190G9S
FBgn0028717	FBgn0240799	Dyak\GE23626	EOG09190595
FBgn0028734	FBgn0241810	Dyak\GE24705	EOG0919067V
FBgn0028737	FBgn0068164	Dyak\Ef1beta	EOG09190G52
FBgn0028738	FBgn0229221	Dyak\GE11411	EOG09190G57
FBgn0028740	FBgn0231598	Dyak\GE13960	EOG091907X8
FBgn0028741	FBgn0231597	Dyak\GE13959	EOG091900CO
FBgn0028743	FBgn0229686	Dyak\GE11902	EOG09190F8O
FBgn0028744	FBgn0229685	Dyak\GE11901	EOG0919030W
FBgn0028746	FBgn0234396	Dyak\GE16906	EOG09190KB1
FBgn0028789	FBgn0238094	Dyak\GE20800	EOG091909I5
FBgn0028833	FBgn0228498	Dyak\GE10646	EOG09190EMB
FBgn0028836	FBgn0236552	Dyak\GE19194	EOG09190DKI
FBgn0028837	FBgn0228180	Dyak\GE10312	EOG09190BZF
FBgn0028838	FBgn0236411	Dyak\GE19048	EOG091909V6
FBgn0028841	FBgn0230806	Dyak\GE13105	EOG09190DPI
FBgn0028844	FBgn0242078	Dyak\GE24984	EOG09190GG8
FBgn0028847	FBgn0229296	Dyak\GE11492	EOG09190BCH
FBgn0028848	FBgn0236075	Dyak\GE18674	EOG091903WO
FBgn0028850	FBgn0236751	Dyak\GE19408	EOG09190HJ3
FBgn0028852	FBgn0238242	Dyak\GE20957	EOG09190AQV
FBgn0028853	FBgn0238222	Dyak\GE20935	EOG09190CLW
FBgn0028856	FBgn0238505	Dyak\GE21233	EOG09190AVT
FBgn0028857	FBgn0238495	Dyak\GE21222	EOG09190ACT
FBgn0028858	FBgn0084636	Dyak\GE21255	EOG09190GJY
FBgn0028862	FBgn0238191	Dyak\GE20902	EOG091902G8
FBgn0028863	FBgn0236738	Dyak\GE19394	EOG091900S9
FBgn0028868	FBgn0236412	Dyak\GE19049	EOG09190A1C
FBgn0028871	FBgn0042726	Dyak\BG:DS06238.4	EOG09190KEC
FBgn0028872	FBgn0242256	Dyak\GE25170	EOG091905UE
FBgn0028875	FBgn0236389	Dyak\GE19023	EOG09190397
FBgn0028878	FBgn0238169	Dyak\GE20880	EOG091905NN
FBgn0028879	FBgn0238138	Dyak\GE20847	EOG091901BY
FBgn0028880	FBgn0238325	Dyak\GE21045	EOG09190HJE
FBgn0028884	FBgn0238596	Dyak\GE21333	EOG09190FSA
FBgn0028886	FBgn0241921	Dyak\GE24820	EOG0919042X
FBgn0028887	FBgn0236416	Dyak\GE19053	EOG091900A1
FBgn0028888	FBgn0236757	Dyak\GE19414	EOG091900RN
FBgn0028892	FBgn0238273	Dyak\GE20990	EOG0919061B
FBgn0028893	FBgn0238616	Dyak\GE21354	EOG091909OL
FBgn0028894	FBgn0236714	Dyak\GE19369	EOG09190I56
FBgn0028895	FBgn0238690	Dyak\GE21431	EOG091909EM
FBgn0028897	FBgn0238648	Dyak\GE21387	EOG09190BND
FBgn0028899	FBgn0230543	Dyak\GE12823	EOG0919009W
FBgn0028900	FBgn0236730	Dyak\GE19386	EOG09190F4T
FBgn0028901	FBgn0238421	Dyak\GE21144	EOG091906PW
FBgn0028902	FBgn0238442	Dyak\GE21166	EOG091906NP
FBgn0028903	FBgn0238431	Dyak\GE21155	EOG091908N2
FBgn0028913	FBgn0242012	Dyak\GE24917	EOG09190HIL
FBgn0028916	FBgn0236395	Dyak\GE19029	EOG091901PC
FBgn0028919	FBgn0236083	Dyak\GE18683	EOG09190EG6
FBgn0028920	FBgn0229181	Dyak\GE11368	EOG09190BGH
FBgn0028926	FBgn0084892	Dyak\GE19055	EOG09190IBH
FBgn0028931	FBgn0236080	Dyak\GE18680	EOG091903OB
FBgn0028932	FBgn0229264	Dyak\GE11459	EOG09190GWC
FBgn0028935	FBgn0236726	Dyak\GE19382	EOG091906OW
FBgn0028936	FBgn0236383	Dyak\GE19016	EOG09190ABB
FBgn0028939	FBgn0236385	Dyak\GE19018	EOG091904R0
FBgn0028940	FBgn0236384	Dyak\GE19017	EOG091907X7
FBgn0028941	FBgn0236070	Dyak\GE18669	EOG09190H9D
FBgn0028942	FBgn0236069	Dyak\GE18668	EOG09190F0P
FBgn0028943	FBgn0229347	Dyak\GE11547	EOG09190J8X
